"index";"Company";"TypeName";"Inches";"screen_size";"resolution_height";"touchscreen";"resolution_width";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"secondary_storage";"primrary_storage";"memory_type";"gpu_brand";"OpSys";"Weight";"Price";"ppi"
1;"Lenovo";"2 in 1 Convertible";15.6;"2";1080;1;1920;"Intel";"Core i7";2.8;8;0;512;"SSD";"Nvidia";"windows";2.0;90523;141
2;"Apple";"Ultrabook";13.3;"1";1600;0;2560;"Intel";"Core i5";3.1;8;0;256;"SSD";"Intel";"macos";1.37;96096;227
3;"Asus";"Gaming";17.3;"3";1080;0;1920;"AMD";"Ryzen 1700";3.0;8;1024;256;"Hybrid";"AMD";"windows";3.2;69211;127
4;"Dell";"Notebook";17.3;"3";1080;0;1920;"Intel";"Core i7";1.8;8;1024;128;"Hybrid";"AMD";"windows";2.8;60846;127
5;"Asus";"Gaming";17.3;"3";1080;0;1920;"AMD";"Ryzen 1700";3.0;16;1024;256;"Hybrid";"AMD";"windows";3.25;117163;127
6;"Acer";"Notebook";17.3;"3";1080;0;1920;"Intel";"Core i3";2.7;4;0;256;"SSD";"Nvidia";"windows";3.0;37403;127
7;"Huawei";"Ultrabook";13.0;"1";1440;0;2160;"Intel";"Core i5";2.5;8;0;256;"SSD";"Intel";"windows";1.05;79867;200
8;"Lenovo";"Gaming";15.6;"2";1080;0;1920;"Intel";"Core i7";2.8;16;0;256;"SSD";"Nvidia";"windows";2.5;57489;141
9;"Lenovo";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i3";2.0;4;0;256;"SSD";"Intel";"other";2.2;23656;141
10;"Acer";"Notebook";17.3;"3";1080;0;1920;"Intel";"Core i5";1.6;4;0;256;"SSD";"Nvidia";"windows";3.0;42890;127
11;"Dell";"Notebook";14.0;"1";1080;0;1920;"Intel";"Core i5";2.5;8;0;256;"SSD";"Intel";"windows";1.6;45768;157
12;"Lenovo";"Gaming";15.6;"2";1080;0;1920;"Intel";"Core i7";2.8;8;0;256;"SSD";"Nvidia";"other";2.4;46300;141
13;"Lenovo";"Notebook";15.6;"2";1080;0;1920;"AMD";"A6-Series 9220";2.5;4;0;128;"SSD";"AMD";"windows";2.2;21259;141
14;"Dell";"Ultrabook";13.3;"1";1080;1;1920;"Intel";"Core i5";2.5;8;0;128;"SSD";"Intel";"windows";1.29;47899;166
15;"Dell";"Notebook";14.0;"1";1080;0;1920;"Intel";"Core i3";2.0;4;0;128;"SSD";"Intel";"windows";1.6;39207;157
16;"HP";"Ultrabook";13.3;"1";1080;0;1920;"Intel";"Core i7";2.7;8;0;256;"SSD";"Intel";"windows";1.32;74539;166
17;"Dell";"Ultrabook";13.3;"1";1080;0;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"Intel";"windows";1.41;50563;166
18;"HP";"Notebook";13.3;"1";1080;0;1920;"Intel";"Core i5";2.5;4;0;256;"SSD";"Intel";"windows";1.32;37243;166
19;"Dell";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"AMD";"windows";2.2;42486;141
20;"Asus";"Gaming";15.6;"2";1080;0;1920;"Intel";"Core i7";2.8;8;1024;128;"Hybrid";"Nvidia";"windows";2.3;88178;141
21;"Dell";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i7";2.8;8;0;256;"SSD";"Nvidia";"windows";2.0;97449;141
22;"Dell";"Ultrabook";14.0;"1";1080;0;1920;"Intel";"Core i7";2.8;8;0;512;"SSD";"Intel";"windows";1.36;89510;157
23;"Lenovo";"Notebook";13.3;"1";1080;0;1920;"Intel";"Core i3";2.4;8;0;256;"SSD";"Intel";"windows";1.4;50563;166
24;"Dell";"Gaming";15.6;"2";1080;0;1920;"Intel";"Core i5";2.5;8;0;256;"SSD";"Nvidia";"windows";2.65;63670;141
25;"Acer";"Notebook";15.6;"2";768;0;1366;"Intel";"Celeron Dual";1.1;4;0;1024;"HDD";"Intel";"windows";2.1;18541;100
26;"Dell";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i7";1.8;8;0;256;"SSD";"AMD";"windows";2.13;40908;141
27;"Dell";"Ultrabook";14.0;"1";1080;0;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"Intel";"windows";1.7;46833;157
28;"Dell";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i7";2.7;8;0;1024;"HDD";"AMD";"linux";2.2;31963;141
29;"Lenovo";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"Intel";"windows";2.05;39374;141
30;"Lenovo";"Notebook";15.6;"2";768;0;1366;"AMD";"A6-Series 9220";2.9;4;0;500;"HDD";"AMD";"other";2.2;16464;100
31;"Lenovo";"Ultrabook";14.0;"1";1440;0;2560;"Intel";"Core i7";2.8;8;0;512;"SSD";"Nvidia";"windows";1.7;103523;210
32;"Lenovo";"2 in 1 Convertible";15.6;"2";2160;1;3840;"Intel";"Core i7";2.8;16;0;512;"SSD";"Nvidia";"windows";2.0;101179;282
33;"Dell";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i5";2.5;8;0;1024;"HDD";"AMD";"windows";2.24;30103;141
34;"Lenovo";"Notebook";14.0;"1";1080;0;1920;"Intel";"Core i7";2.7;8;0;256;"SSD";"Intel";"windows";1.58;78854;157
35;"Toshiba";"Notebook";15.6;"2";768;0;1366;"Intel";"Core i3";2.4;4;0;500;"HDD";"Intel";"windows";5.4;26054;100
36;"Asus";"Gaming";17.3;"3";1080;0;1920;"Intel";"Core i7";2.8;8;0;1024;"HDD";"Nvidia";"windows";3.0;55358;127
37;"Lenovo";"Notebook";17.3;"3";900;0;1600;"AMD";"A8-Series 7410";2.2;4;0;128;"SSD";"AMD";"windows";2.6;26054;106
38;"Apple";"Ultrabook";13.3;"1";900;0;1440;"Intel";"Core i5";1.8;8;0;256;"Flash Storage";"Intel";"macos";1.34;61736;128
39;"Mediacom";"Notebook";14.0;"1";1080;0;1920;"Intel";"Celeron Quad";1.1;4;0;32;"SSD";"Intel";"windows";1.45;20726;157
40;"Asus";"Netbook";11.6;"1";768;0;1366;"Intel";"Celeron Dual";1.1;2;0;32;"Flash Storage";"Intel";"windows";1.1;13054;135
41;"HP";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i5";1.6;4;0;500;"HDD";"Intel";"windows";2.1;38468;141
42;"Dell";"2 in 1 Convertible";15.6;"2";1080;1;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"Intel";"windows";2.67;42571;141
43;"HP";"Notebook";13.3;"1";1080;0;1920;"Intel";"Core i5";1.6;4;0;500;"HDD";"Intel";"windows";1.49;35964;166
44;"Lenovo";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i3";2.0;4;0;1024;"HDD";"Intel";"windows";1.85;22106;141
45;"Dell";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i5";2.5;4;0;256;"SSD";"AMD";"windows";2.3;34046;141
46;"Dell";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i7";1.8;8;2048;256;"Hybrid";"AMD";"windows";2.02;60867;141
47;"Asus";"Notebook";14.0;"1";1080;0;1920;"Intel";"Core i7";2.7;8;0;256;"SSD";"Intel";"windows";2.0;58288;157
48;"Dell";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i5";1.6;8;0;1024;"HDD";"AMD";"linux";2.2;34472;141
49;"Asus";"Notebook";15.6;"2";768;0;1366;"AMD";"A9-Series 9420";3.0;4;0;1024;"HDD";"AMD";"windows";2.03;21472;100
50;"Asus";"Gaming";17.3;"3";1080;0;1920;"Intel";"Core i7";2.9;32;1024;512;"Hybrid";"Nvidia";"windows";4.7;207259;127
51;"Acer";"2 in 1 Convertible";13.3;"1";1080;1;1920;"Intel";"Core i5";2.3;8;0;256;"SSD";"Intel";"windows";1.6;36710;166
52;"HP";"Notebook";14.0;"1";768;0;1366;"Intel";"Celeron Dual";1.6;2;0;32;"Flash Storage";"Intel";"windows";1.44;14865;112
53;"Dell";"Notebook";15.6;"2";1080;0;1920;"Intel";"Core i7";1.8;16;2048;256;"Hybrid";"AMD";"windows";2.2;64961;141
54;"Acer";"Notebook";17.3;"3";1080;0;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"Nvidia";"windows";3.0;45501;127
55;"Lenovo";"2 in 1 Convertible";13.9;"1";2160;1;3840;"Intel";"Core i7";1.8;16;0;512;"SSD";"Intel";"windows";1.4;111835;317
56;"Dell";"Notebook";17.3;"3";1080;0;1920;"Intel";"Core i5";1.6;8;1024;128;"Hybrid";"AMD";"windows";2.8;57809;127
57;"Lenovo";"Ultrabook";14.0;"1";1440;0;2560;"Intel";"Core i7";2.6;12;0;256;"SSD";"Intel";"windows";1.4;98994;210
58;"Apple";"Ultrabook";13.3;"1";1600;0;2560;"Intel";"Core i5";2.3;8;0;128;"SSD";"Intel";"macos";1.37;71379;227
