"Company";"TypeName";"Inches";"resolution_height";"touchscreen";"resolution_width";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"secondary_storage";"primrary_storage";"memory_type";"gpu_brand";"OpSys";"Weight";"Price";"id"
"Acer";"Notebook";17.3;1080;0;1920;"Intel";"Core i5";1.6;4;0;256;"SSD";"Nvidia";"windows";3.0;42890;1
"Dell";"Notebook";15.6;1080;0;1920;"Intel";"Core i7";2.8;8;0;256;"SSD";"Nvidia";"windows";2.0;97449;2
"Dell";"Notebook";15.6;1080;0;1920;"Intel";"Core i7";1.8;8;0;256;"SSD";"AMD";"windows";2.13;40908;3
"Apple";"Ultrabook";13.3;1600;0;2560;"Intel";"Core i5";2.3;8;0;128;"SSD";"Intel";"macos";1.37;71379;4
"Apple";"Ultrabook";13.3;900;0;1440;"Intel";"Core i5";1.8;8;0;128;"Flash Storage";"Intel";"macos";1.34;47896;5
"HP";"Notebook";15.6;1080;0;1920;"Intel";"Core i5";2.5;8;0;256;"SSD";"Intel";"other";1.86;30636;6
"Asus";"Notebook";15.6;1080;0;1920;"AMD";"A10-Series A10-9620P";2.5;4;1024;128;"Hybrid";"AMD";"windows";2.2;30636;7
"Apple";"Ultrabook";15.4;1800;0;2880;"Intel";"Core i7";2.7;16;0;512;"SSD";"AMD";"macos";1.83;135195;8
"Dell";"Notebook";15.6;1080;0;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"AMD";"windows";2.13;38788;9
"Apple";"Ultrabook";13.3;1600;0;2560;"Intel";"Core i5";3.1;8;0;256;"SSD";"Intel";"macos";1.37;96096;10
"Lenovo";"Gaming";15.6;1080;0;1920;"Intel";"Core i7";2.8;16;0;256;"SSD";"Nvidia";"windows";2.5;57489;11
"Acer";"Notebook";15.6;768;0;1366;"Intel";"Celeron Dual";1.1;4;0;1024;"HDD";"Intel";"windows";2.1;18541;12
"Lenovo";"Notebook";14.0;1080;0;1920;"Intel";"Core i7";2.7;8;0;256;"SSD";"Intel";"windows";1.58;78854;13
"Asus";"Gaming";17.3;1080;0;1920;"Intel";"Core i7";2.8;8;0;1024;"HDD";"Nvidia";"windows";3.0;55358;14
"Asus";"Notebook";14.0;1080;0;1920;"Intel";"Core i7";2.7;8;0;256;"SSD";"Intel";"windows";2.0;58288;15
"Asus";"Gaming";17.3;1080;0;1920;"Intel";"Core i7";2.9;32;1024;512;"Hybrid";"Nvidia";"windows";4.7;207259;16
"Asus";"Gaming";17.3;1080;0;1920;"Intel";"Core i7";2.8;16;1024;256;"Hybrid";"Nvidia";"windows";3.0;84768;17
"HP";"Notebook";15.6;768;0;1366;"Intel";"Core i7";1.8;8;0;1024;"HDD";"Intel";"windows";2.1;48059;18
"Acer";"Gaming";15.6;1080;0;1920;"Intel";"Core i5";2.5;8;0;256;"SSD";"Nvidia";"windows";2.5;45075;19
"Acer";"Notebook";15.6;768;0;1366;"Intel";"Core i5";1.6;12;0;1024;"HDD";"Nvidia";"windows";2.2;36976;20
"Lenovo";"Notebook";15.6;768;0;1366;"Intel";"Core i3";2.0;8;0;128;"SSD";"Intel";"windows";7.2;31382;21
"Asus";"Ultrabook";15.6;1080;0;1920;"Intel";"Core i7";1.8;16;1024;256;"Hybrid";"Nvidia";"windows";1.5;67239;22
"MSI";"Gaming";17.3;1080;0;1920;"Intel";"Core i7";2.8;8;0;256;"SSD";"Nvidia";"windows";2.7;71875;23
"Dell";"Notebook";15.6;1080;0;1920;"Intel";"Core i7";2.7;8;0;256;"SSD";"AMD";"linux";2.33;41498;24
"Asus";"Notebook";17.3;1080;0;1920;"Intel";"Core i7";1.8;8;1024;128;"Hybrid";"Nvidia";"windows";2.1;61006;25
"Asus";"Notebook";17.3;1080;0;1920;"Intel";"Core i7";2.7;8;1024;128;"Hybrid";"Nvidia";"other";2.69;47366;26
"HP";"Ultrabook";15.6;1080;0;1920;"AMD";"A9-Series 9420";3.0;4;0;256;"SSD";"AMD";"windows";1.91;26587;27
"Dell";"Ultrabook";13.3;1800;1;3200;"Intel";"Core i7";2.4;8;0;256;"SSD";"Intel";"windows";1.23;73473;28
"Lenovo";"Notebook";15.6;1080;0;1920;"Intel";"Core i7";1.8;8;0;256;"SSD";"AMD";"windows";2.1;65511;29
"Dell";"Gaming";15.6;1080;0;1920;"Intel";"Core i5";2.5;8;0;256;"SSD";"Nvidia";"windows";2.56;46833;30
"Lenovo";"2 in 1 Convertible";13.3;1080;1;1920;"Intel";"Core i5";2.5;8;0;256;"SSD";"Intel";"windows";1.37;74539;31
"HP";"Notebook";15.6;1080;0;1920;"Intel";"Core i3";2.0;4;0;128;"SSD";"Intel";"windows";1.91;23390;32
"Lenovo";"Notebook";14.0;1080;0;1920;"Intel";"Core i5";2.5;8;0;256;"SSD";"Intel";"windows";1.9;49977;33
"Lenovo";"2 in 1 Convertible";13.9;1080;1;1920;"Intel";"Core i7";2.7;8;0;256;"SSD";"Intel";"windows";1.38;57489;34
"HP";"Notebook";14.0;768;0;1366;"Intel";"Core i5";1.6;4;0;500;"HDD";"Intel";"windows";1.63;38468;35
"Acer";"Notebook";15.6;768;0;1366;"AMD";"A9-Series 9420";3.0;4;0;500;"HDD";"AMD";"windows";2.1;21312;36
"Dell";"Notebook";15.6;1080;0;1920;"Intel";"Core i7";1.8;8;2048;128;"Hybrid";"AMD";"windows";2.2;52481;37
"Dell";"Ultrabook";13.3;1080;0;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"Intel";"windows";1.21;86793;38
"Apple";"Ultrabook";15.4;1800;0;2880;"Intel";"Core i7";2.2;16;0;256;"Flash Storage";"Intel";"macos";2.04;114018;39
"HP";"Notebook";15.6;768;1;1366;"Intel";"Core i5";2.5;8;0;1024;"HDD";"Intel";"windows";2.04;29784;40
"Asus";"Notebook";15.6;768;0;1366;"Intel";"Core i5";2.5;4;0;256;"SSD";"Intel";"windows";2.0;31232;41
"Dell";"Workstation";15.6;2160;1;3840;"Intel";"Core i7";2.8;8;0;256;"SSD";"Nvidia";"windows";1.78;144495;42
"MSI";"Gaming";17.3;1080;0;1920;"Intel";"Core i7";2.8;16;2048;256;"Hybrid";"Nvidia";"windows";2.43;130483;43
"Asus";"Gaming";17.3;1080;0;1920;"Intel";"Core i7";2.9;16;0;256;"SSD";"Nvidia";"windows";3.6;159787;44
"Apple";"Ultrabook";13.3;900;0;1440;"Intel";"Core i5";1.8;8;0;256;"Flash Storage";"Intel";"macos";1.34;61736;45
"HP";"Notebook";13.3;1080;0;1920;"Intel";"Core i5";1.6;4;0;500;"HDD";"Intel";"windows";1.49;35964;46
"Asus";"Ultrabook";14.0;1080;0;1920;"Intel";"Core i7";1.8;16;0;512;"SSD";"Nvidia";"windows";1.3;79654;47
"Lenovo";"Ultrabook";14.0;1440;0;2560;"Intel";"Core i7";2.7;16;0;1024;"SSD";"Intel";"windows";1.13;139860;48
"Acer";"Ultrabook";14.0;1080;0;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"Intel";"windows";1.6;41026;49
"Apple";"Ultrabook";13.3;1600;0;2560;"Intel";"Core i5";3.1;8;0;512;"SSD";"Intel";"macos";1.37;108691;50
"MSI";"Gaming";15.6;1080;0;1920;"Intel";"Core i7";2.8;16;1024;256;"Hybrid";"Nvidia";"windows";2.4;95851;51
"Dell";"2 in 1 Convertible";15.6;1080;1;1920;"Intel";"Core i7";1.8;8;0;1024;"HDD";"Intel";"windows";2.08;43636;52
"Asus";"Notebook";15.6;1080;0;1920;"Intel";"Core i3";2.0;4;0;256;"SSD";"Intel";"linux";2.0;22111;53
"Lenovo";"Notebook";15.6;768;0;1366;"Intel";"Celeron Dual";1.1;4;0;1024;"HDD";"Intel";"windows";2.2;16304;54
"Asus";"Gaming";17.3;1080;0;1920;"Intel";"Core i7";2.8;16;1024;256;"Hybrid";"Nvidia";"windows";4.3;95851;55
"Acer";"Notebook";15.6;768;0;1366;"Intel";"Pentium Quad";1.1;4;0;1024;"HDD";"Intel";"windows";2.1;19368;56
"Dell";"Gaming";15.6;1080;0;1920;"Intel";"Core i7";2.8;8;1024;128;"Hybrid";"Nvidia";"windows";2.56;56503;57
"Asus";"Gaming";17.3;1080;0;1920;"Intel";"Core i7";2.8;16;1024;256;"Hybrid";"Nvidia";"windows";2.9;81465;58
"Dell";"Notebook";17.3;1080;0;1920;"Intel";"Core i7";1.8;16;2048;256;"Hybrid";"AMD";"windows";2.8;69211;59
"Lenovo";"Notebook";25.6;1080;0;1920;"Intel";"Core i5";1.6;8;1024;256;"Hybrid";"AMD";"windows";2.1;60979;60
"Asus";"Notebook";15.6;768;0;1366;"AMD";"A9-Series 9420";3.0;4;0;1024;"HDD";"AMD";"windows";1.68;24988;61
"Lenovo";"2 in 1 Convertible";13.9;1080;1;1920;"Intel";"Core i7";1.8;8;0;512;"SSD";"Intel";"windows";1.37;98515;62
"Acer";"Notebook";15.6;1080;0;1920;"Intel";"Core i7";2.8;8;0;256;"SSD";"Nvidia";"linux";2.5;46833;63
"Acer";"Notebook";17.3;1080;0;1920;"Intel";"Core i3";2.7;4;0;256;"SSD";"Nvidia";"windows";3.0;37403;64
"Lenovo";"Notebook";15.6;1080;0;1920;"AMD";"A6-Series 9220";2.5;4;0;128;"SSD";"AMD";"windows";2.2;21259;65
"Dell";"Ultrabook";13.3;1080;0;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"Intel";"windows";1.41;50563;66
"Dell";"Ultrabook";14.0;1080;0;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"Intel";"windows";1.7;46833;67
"Acer";"Notebook";17.3;1080;0;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"Nvidia";"windows";3.0;45501;68
"MSI";"Gaming";17.3;1080;0;1920;"Intel";"Core i7";2.8;16;1024;256;"Hybrid";"Nvidia";"windows";2.8;119827;69
"Acer";"Notebook";15.6;768;0;1366;"AMD";"A9-Series 9420";3.0;4;0;1024;"HDD";"AMD";"windows";2.1;21046;70
"HP";"Notebook";15.6;768;0;1366;"AMD";"A6-Series A6-9220";2.5;8;0;128;"SSD";"AMD";"windows";1.91;23758;71
"HP";"Notebook";13.3;1080;0;1920;"Intel";"Core i5";1.6;4;0;500;"HDD";"Intel";"windows";1.49;40173;72
"HP";"Notebook";17.3;1080;0;1920;"Intel";"Core i7";1.8;16;0;1024;"HDD";"Nvidia";"windows";2.9;56424;73
"HP";"Notebook";14.0;1080;0;1920;"Intel";"Core i7";1.8;8;0;256;"SSD";"Nvidia";"windows";1.63;54932;74
"Dell";"Notebook";15.6;1080;0;1920;"Intel";"Core i5";2.5;4;0;1024;"HDD";"Intel";"windows";2.18;35005;75
"MSI";"Gaming";17.3;1080;0;1920;"Intel";"Core i7";2.8;16;1024;512;"Hybrid";"Nvidia";"windows";4.14;133147;76
"Lenovo";"Notebook";14.0;1080;0;1920;"Intel";"Core i3";2.7;8;0;256;"SSD";"Intel";"other";1.7;31915;77
"Asus";"Notebook";14.0;1080;0;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"Intel";"windows";1.4;50136;78
"HP";"Notebook";15.6;1080;0;1920;"Intel";"Core i5";2.5;8;0;256;"SSD";"Intel";"windows";1.86;36763;79
"Lenovo";"2 in 1 Convertible";15.6;1080;1;1920;"Intel";"Core i7";2.8;8;0;512;"SSD";"Nvidia";"windows";2.0;90523;80
"Asus";"Gaming";17.3;1080;0;1920;"AMD";"Ryzen 1700";3.0;8;1024;256;"Hybrid";"AMD";"windows";3.2;69211;81
"Dell";"Notebook";17.3;1080;0;1920;"Intel";"Core i7";1.8;8;1024;128;"Hybrid";"AMD";"windows";2.8;60846;82
"Huawei";"Ultrabook";13.0;1440;0;2160;"Intel";"Core i5";2.5;8;0;256;"SSD";"Intel";"windows";1.05;71875;83
"Lenovo";"Notebook";15.6;1080;0;1920;"Intel";"Core i3";2.0;4;0;256;"SSD";"Intel";"other";2.2;23656;84
"Lenovo";"Notebook";15.6;1080;0;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"Intel";"windows";2.05;39374;85
"Dell";"Notebook";15.6;1080;0;1920;"Intel";"Core i5";2.5;8;0;1024;"HDD";"AMD";"windows";2.24;30103;86
"HP";"Notebook";15.6;1080;0;1920;"Intel";"Core i5";1.6;4;0;500;"HDD";"Intel";"windows";2.1;38468;87
"Dell";"2 in 1 Convertible";15.6;1080;1;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"Intel";"windows";2.67;42571;88
"Dell";"Notebook";15.6;1080;0;1920;"Intel";"Core i5";2.5;4;0;256;"SSD";"AMD";"windows";2.3;34046;89
"Lenovo";"Ultrabook";14.0;1440;0;2560;"Intel";"Core i7";2.6;12;0;256;"SSD";"Intel";"windows";1.4;98994;90
"Asus";"2 in 1 Convertible";13.3;1080;1;1920;"Intel";"Core i7";1.8;8;512;512;"SSD";"Intel";"windows";4.1;79867;91
"Lenovo";"Gaming";15.6;1080;0;1920;"Intel";"Core i7";2.8;8;0;1024;"HDD";"Nvidia";"windows";3.2;69211;92
"Dell";"Ultrabook";14.0;1080;0;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"Intel";"windows";1.6;61219;93
"HP";"Notebook";17.3;1080;0;1920;"Intel";"Core i7";1.8;8;0;1024;"HDD";"Nvidia";"windows";2.5;54239;94
"HP";"2 in 1 Convertible";13.3;2160;1;3840;"Intel";"Core i7";1.8;8;0;512;"SSD";"Intel";"windows";1.29;106507;95
"Dell";"Gaming";15.6;1080;0;1920;"Intel";"Core i7";2.8;16;1024;128;"Hybrid";"Nvidia";"windows";2.65;71875;96
"Lenovo";"Notebook";15.6;1080;0;1920;"Intel";"Core i7";1.8;8;0;256;"SSD";"Intel";"windows";2.05;46886;97
"HP";"Notebook";15.6;1080;0;1920;"Intel";"Core i5";2.5;8;0;500;"HDD";"AMD";"windows";1.9;61485;98
"Apple";"Ultrabook";13.3;1600;0;2560;"Intel";"Core i5";2.9;8;0;512;"SSD";"Intel";"macos";1.37;104370;99
"Google";"Ultrabook";12.3;1600;1;2400;"Intel";"Core i5";1.2;8;0;128;"SSD";"Intel";"other";1.1;67932;100
"Asus";"Gaming";17.3;1080;0;1920;"AMD";"Ryzen 1700";3.0;16;1024;256;"Hybrid";"AMD";"windows";3.2;82531;101
"Dell";"Ultrabook";13.3;1080;1;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"Intel";"windows";1.42;98134;102
"Dell";"Notebook";15.6;1080;0;1920;"Intel";"Core i7";1.8;8;0;256;"SSD";"AMD";"linux";2.14;39165;103
"Acer";"Notebook";15.6;768;0;1366;"AMD";"A12-Series 9720P";2.7;8;0;256;"SSD";"AMD";"windows";2.2;35112;104
"HP";"Notebook";15.6;768;0;1366;"Intel";"Core i5";2.5;4;0;500;"HDD";"Intel";"other";1.86;20987;105
"Asus";"Notebook";15.6;2160;0;3840;"Intel";"Core i7";2.6;12;1024;128;"Hybrid";"Intel";"windows";2.06;69211;106
"Lenovo";"2 in 1 Convertible";14.0;1440;1;2560;"Intel";"Core i7";2.6;16;0;512;"SSD";"Intel";"windows";1.36;133147;107
"HP";"Notebook";15.6;1080;0;1920;"Intel";"Core i3";2.0;4;0;500;"HDD";"Intel";"other";1.86;18381;108
"Lenovo";"Notebook";14.0;768;0;1366;"Intel";"Celeron Dual";1.1;4;0;32;"Flash Storage";"Intel";"windows";1.44;15558;109
"HP";"Notebook";17.3;1080;0;1920;"Intel";"Core i5";2.5;6;0;2048;"HDD";"AMD";"windows";2.71;37243;110
"Dell";"Notebook";14.0;768;0;1366;"Intel";"Core i3";2.3;8;0;128;"SSD";"Intel";"windows";1.79;39427;111
"Apple";"Ultrabook";15.4;1800;0;2880;"Intel";"Core i7";2.8;16;0;256;"SSD";"AMD";"macos";1.83;130002;112
"Lenovo";"Notebook";14.0;1080;0;1920;"Intel";"Core i5";2.5;8;0;180;"SSD";"Intel";"windows";1.7;72674;113
"Dell";"Notebook";15.6;1080;0;1920;"Intel";"Core i3";2.0;4;0;256;"SSD";"AMD";"windows";2.2;26581;114
"Acer";"Notebook";15.6;768;0;1366;"Intel";"Core i5";2.5;6;0;1024;"HDD";"Intel";"windows";8.23;29251;115
"Apple";"Ultrabook";12.0;1440;0;2304;"Intel";"Core M";1.2;8;0;256;"SSD";"Intel";"macos";0.92;67261;116
"Lenovo";"Notebook";15.6;768;0;1366;"AMD";"A6-Series 9220";2.9;4;0;500;"HDD";"AMD";"other";2.2;16464;117
"Toshiba";"Notebook";15.6;768;0;1366;"Intel";"Core i3";2.4;4;0;500;"HDD";"Intel";"windows";5.4;26054;118
"Apple";"Ultrabook";13.3;1600;0;2560;"Intel";"Core i5";2.3;8;0;256;"SSD";"Intel";"macos";1.37;80908;119
"HP";"Notebook";17.3;1080;0;1920;"Intel";"Core i5";1.6;8;0;256;"SSD";"Nvidia";"windows";2.5;49177;120
"Dell";"Notebook";15.6;1080;0;1920;"Intel";"Core i7";2.7;8;0;256;"SSD";"AMD";"windows";2.2;39694;121
"Dell";"Notebook";15.6;768;0;1366;"Intel";"Core i3";2.4;8;0;1024;"HDD";"Intel";"windows";2.3;24456;122
"Asus";"Notebook";17.3;768;0;1366;"Intel";"Pentium Quad";1.1;4;0;1024;"HDD";"Nvidia";"windows";2.8;24828;123
"Acer";"Notebook";15.6;1080;0;1920;"Intel";"Core i7";2.8;8;0;256;"SSD";"Nvidia";"linux";2.5;52161;124
"HP";"Ultrabook";15.6;1080;0;1920;"Intel";"Core i7";1.8;8;0;256;"SSD";"Nvidia";"windows";1.83;37243;125
"Acer";"Notebook";15.6;1080;0;1920;"Intel";"Core i7";1.8;8;0;256;"SSD";"Nvidia";"windows";2.2;44808;126
"HP";"Notebook";15.6;1080;0;1920;"Intel";"Core i3";2.0;4;0;1024;"HDD";"AMD";"windows";2.1;24988;127
